origin,destination,price,origin_lat,origin_long,destination_lat,destination_long
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
LAX,SLC,480.08,33.94253611,-118.4080744,40.78838778,-111.9777731
DFW,SLC,627.14,32.89595056,-97.0372,40.78838778,-111.9777731
HOU,SLC,529.0,29.64541861,-95.27888889,40.78838778,-111.9777731
BOS,SLC,692.09,42.3643475,-71.00517917,40.78838778,-111.9777731
SLC,HOU,600.2,40.78838778,-111.9777731,29.64541861,-95.27888889
LAX,HOU,456.5,33.94253611,-118.4080744,29.64541861,-95.27888889
DFW,HOU,313.0,32.89595056,-97.0372,29.64541861,-95.27888889
BOS,HOU,547.71,42.3643475,-71.00517917,29.64541861,-95.27888889
