origin,destination,price,origin_lat,origin_long,destination_lat,destination_long
AEX,HOU,734.0,31.32737167,-92.54855611,29.64541861,-95.27888889
AGS,HOU,676.5,33.369955,-81.96449611,29.64541861,-95.27888889
ANC,HOU,1608.25,61.17432028,-149.9961856,29.64541861,-95.27888889
ATL,HOU,381.5,33.64044444,-84.42694444,29.64541861,-95.27888889
AUS,HOU,332.33,30.19453278,-97.66987194,29.64541861,-95.27888889
BOI,HOU,2616.0,43.56444444,-116.2227778,29.64541861,-95.27888889
BOS,HOU,548.83,42.3643475,-71.00517917,29.64541861,-95.27888889
BQK,HOU,519.0,31.25902778,-81.46630556,29.64541861,-95.27888889
BNA,HOU,532.6,36.12447667,-86.67818222,29.64541861,-95.27888889
BWI,HOU,500.0,39.17540167,-76.66819833,29.64541861,-95.27888889
CHA,HOU,615.5,35.03526833,-85.20378778,29.64541861,-95.27888889
CHS,HOU,634.2,32.89864639,-80.04050583,29.64541861,-95.27888889
CHO,HOU,695.33,38.13863889,-78.45286111,29.64541861,-95.27888889
CLT,HOU,560.22,35.21401111,-80.94312583,29.64541861,-95.27888889
CMI,HOU,614.25,40.03925,-88.27805556,29.64541861,-95.27888889
CRP,HOU,637.0,27.77036083,-97.50121528,29.64541861,-95.27888889
DAB,HOU,586.5,29.17991667,-81.05805556,29.64541861,-95.27888889
DAL,HOU,309.0,32.84711389,-96.85177222,29.64541861,-95.27888889
DCA,HOU,664.33,38.85208333,-77.03772222,29.64541861,-95.27888889
DEN,HOU,406.71,39.85840806,-104.6670019,29.64541861,-95.27888889
DFW,HOU,313.0,32.89595056,-97.0372,29.64541861,-95.27888889
ELP,HOU,625.0,31.80666667,-106.3778056,29.64541861,-95.27888889
FLL,HOU,507.33,26.07258333,-80.15275,29.64541861,-95.27888889
GNV,HOU,982.0,29.69005556,-82.27177778,29.64541861,-95.27888889
GRK,HOU,363.0,31.06489778,-97.82779778,29.64541861,-95.27888889
IAD,HOU,616.33,38.94453194,-77.45580972,29.64541861,-95.27888889
IDA,HOU,3908.0,43.51455556,-112.0701667,29.64541861,-95.27888889
IND,HOU,617.25,39.71732917,-86.29438417,29.64541861,-95.27888889
JAX,HOU,596.86,30.49405556,-81.68786111,29.64541861,-95.27888889
LAS,HOU,484.56,36.08036111,-115.1523333,29.64541861,-95.27888889
LAX,HOU,627.0,33.94253611,-118.4080744,29.64541861,-95.27888889
LEX,HOU,565.0,38.03697222,-84.60538889,29.64541861,-95.27888889
LWB,HOU,709.0,37.85830556,-80.39947222,29.64541861,-95.27888889
LYH,HOU,666.67,37.32668528,-79.20043056,29.64541861,-95.27888889
MCI,HOU,579.8,39.29760528,-94.71390556,29.64541861,-95.27888889
MCO,HOU,490.17,28.42888889,-81.31602778,29.64541861,-95.27888889
MHT,HOU,598.0,42.93451639,-71.43705583,29.64541861,-95.27888889
MIA,HOU,574.0,25.79325,-80.29055556,29.64541861,-95.27888889
MLB,HOU,461.67,28.10275,-80.64580556,29.64541861,-95.27888889
MSY,HOU,456.8,29.99338889,-90.25802778,29.64541861,-95.27888889
OAK,HOU,597.0,37.72129083,-122.2207167,29.64541861,-95.27888889
ONT,HOU,666.22,34.056,-117.6011944,29.64541861,-95.27888889
PBI,HOU,389.5,26.68316194,-80.09559417,29.64541861,-95.27888889
PHF,HOU,685.5,37.13189556,-76.4929875,29.64541861,-95.27888889
PNS,HOU,506.8,30.47330556,-87.18744444,29.64541861,-95.27888889
PSP,HOU,1125.67,33.82921556,-116.5062531,29.64541861,-95.27888889
RDU,HOU,616.38,35.87763889,-78.78747222,29.64541861,-95.27888889
RIC,HOU,550.33,37.50516667,-77.31966667,29.64541861,-95.27888889
ROA,HOU,711.8,37.32546833,-79.97542833,29.64541861,-95.27888889
RSW,HOU,406.83,26.53616667,-81.75516667,29.64541861,-95.27888889
SAV,HOU,606.5,32.12758333,-81.20213889,29.64541861,-95.27888889
SFO,HOU,2512.57,37.61900194,-122.3748433,29.64541861,-95.27888889
SJC,HOU,1497.38,37.36186194,-121.9290089,29.64541861,-95.27888889
SLC,HOU,686.9,40.78838778,-111.9777731,29.64541861,-95.27888889
SRQ,HOU,581.4,27.39533333,-82.55411111,29.64541861,-95.27888889
TLH,HOU,684.0,30.39652778,-84.35033333,29.64541861,-95.27888889
TPA,HOU,554.0,27.97547222,-82.53325,29.64541861,-95.27888889
TRI,HOU,645.2,36.47521417,-82.40742056,29.64541861,-95.27888889
TYS,HOU,625.4,35.81248722,-83.99285583,29.64541861,-95.27888889
VLD,HOU,519.0,30.7825,-83.27672222,29.64541861,-95.27888889
VPS,HOU,367.75,30.48325,-86.5254,29.64541861,-95.27888889
